Subject,Code,Description,Professor,Core ASD,Core EPD,Core ESD,Core ISTD,Term 4,Term 5,Term 6,Term 7,Term 8,Pre-requisite,Alt-requisite,Remark
Global Health Technologies,01.101,"Global Health Technologies course provides a multi-disciplinary approach to global health technology design using real world projects and partners. The course explores the current state of global health challenges (with special focus on Singapore and her neighbours), and teaches students how to design medical technologies (e.g. products, systems) that address these problems. The same technology that is applicable in developing countries will be tested in Singapore as a pilot run, before being introduced to the neighboring countries. In their respective project groups, students will brainstorm and define current elderly issues pertaining to community hospitals (e.g. St Andrew?????s Community Hospital) in Singapore. Guest lectures, panel discussions and organized field trip will allow student to have a first-hand experience to global health issues and help students come up with better solutions. The Biodesign Innovation process will be taught and applied in the student projects.",Dawn Koh,0,0,0,0,0,1,0,1,0,,,
Energy Systems and Management,01.102,"Broadly, this course aims to acquaint students with both the operation and economics of modern electric power systems. Topics include optimal power flow, unit commitment, economic dispatch, electricity markets, as well as emerging techniques for renewable energy integration and demand response. By the end of the course, students will have developed a firm grasp of optimal power system operations, the emerging challenges facing deep renewable energy integration, tools to effectively tackle said challenges, as well as the energy system and markets in Singapore. ?????",,0,0,0,0,0,0,0,0,1,,,
Networked Life,01.104,"Driven by a number of real-world questions about our networked lives, this course explores the technology behind the multi-trillion dollar Internet and wireless industries.
 
 How does Google sell ad space and rank webpages? How does Netflix recommend movies and Amazon rank products? How can you influence people on Facebook and Twitter and can you really reach anyone in six steps? How can you make your video viral on YouTube? Why doesn?????t the Internet collapse under congestion and does it have an Achilles????? heel? Why are you charged per gigabyte for mobile data? How does CDMA work in my smartphone? These are some of the networked life issues the course will address in providing answers to the above questions, which are the subject of a fascinating intersection of disciplines, including computer science, physics, sociology, mathematics and economics. Researchers from these areas all strive to quantify and explain the growing complexity and connectivity of the world around us, and they have begun to develop a rich new science along the way to reason about the new social, economic and technological networks.
 
 The course will motivate the student through actual applications to enable both an overview of these systems and a fundamental understanding of the key ideas. It will introduce the various tools and modelling concepts that apply in each situation, targeting at a truly interdisciplinary learning experience.",,0,0,0,0,0,1,0,1,0,,,
Design and Manufacturing,01.105,"This subject provides exposure to a range of current industrial processes and practices used to manufacture products in high and low volumes, with in-depth focus on several selected processes. It gives an integrated perspective of design, engineering, and management disciplines and practices for analysis and design of manufacturing enterprises. Emphasis is on the physics and stochastic nature of manufacturing processes and systems, and their effects on quality, rate, cost, and flexibility. Topics include process physics and control, design for manufacturing, and manufacturing systems. Group project requires design and fabrication of parts using mass-production and assembly methods to produce a product in quantity.",Tan U-Xuan,0,0,0,0,0,0,0,0,1,,,
Engineering Management,01.106,"Introduction and overview of engineering management. Financial principles, management of innovation, technology strategy, and best management practices. Cases are discussed in class for class participation. Focus is on the development of individual skills and team work, and exposure to management tools.",,0,0,0,0,0,1,0,1,0,,,
Urban Transportation,01.107,"This course provides students with an understanding of current challenges and opportunities in land transportation. It introduces road vehicle propulsion technologies and transportation systems modelling, including the tools and methods to assess technologies and system performance. Topics include conventional and alternative vehicle powertrains, intelligent transportation systems (ITS), transportation network modelling, traffic simulation, and travel demand modelling. Students will complete a project on a subject of their choosing.",,0,0,0,0,0,1,0,1,0,,,
Culture Formation and Innovative Product Design,01.111,"This course introduces innovative product design methods and techniques in the crosscultural contexts. In this course, we focus on consumer products (used or consumed by ordinary end users rather than professionals), including physical products and computer software.",Jiang Hao,0,0,0,0,0,1,0,1,0,,,
Machine Learning,01.112,"Machine learning is the study of algorithms that improve their performance at some task with experience. In this course, students will learn how machine learning has led to many innovative real-world applications. The students will also gain an in-depth understanding of a broad range of machine learning algorithms from basic to state-of-the-art, such as: na??ve Bayes, logistic regression, neural networks, clustering, probabilistic graphical models, reinforcement learning and SVMs.",,0,0,0,0,1,0,1,0,0,,50.034;30.003;40.004,
General HASS Mapping Elective_Term 4,02.000_4,"General HASS subject, Placeholder",,0,0,0,0,1,0,0,0,0,,,
General HASS Mapping Elective_Term 5,02.000_5,"General HASS subject, Placeholder",,0,0,0,0,0,1,0,0,0,,,
General HASS Mapping Elective_Term 6,02.000_6,"General HASS subject, Placeholder",,0,0,0,0,0,0,1,0,0,,,
General HASS Mapping Elective_Term 7,02.000_7,"General HASS subject, Placeholder",,0,0,0,0,0,0,0,1,0,,,
General HASS Mapping Elective_Term 8,02.000_8,"General HASS subject, Placeholder",,0,0,0,0,0,0,0,0,1,,,
Darwin and Design,02.101DH,Course information not available yet.,,0,0,0,0,,,,,,,,
The World Since 1400,02.102DH,"This course surveys the social, economic, and political evolution of societies and cultures from about the year 1400 to the present. The course?€?s primary theme is the increasing interaction between communities as the barrier of distance succumbed to both curiosity and new transport technologies. It will also explore the unexpected rise to world dominance of Western Europe and the United States over the past 500 years, the ?€?great divergence?€? in material, political, and technological development that occurred between Western Europe and East Asia after 1750, and the resulting impact on the rest of the world. It attempts to present this history in an integrative fashion. It will examine processes, trends, and environmental factors at the trans-regional or global level, rather than presenting a series of histories of different regions in sequence. It seeks to accomplish this by emphasizing human encounters as well as material, cultural, and biological exchanges between different regions, cultures, and civilizations. In the process, we will examine a series of evolving relationships, those between human beings and their physical environment, between different religious and political systems, between different ethnic groups, and between men and women. The comparative study of these relationships will play a crucial role in illustrating the major patterns in history.  In addition to improving critical reading and writing skills, this course will also serve as an introduction to historical and other interpretive methodologies: in each class, students will be expected to analyze and interpret both primary and secondary source materials.",,0,0,0,0,,,,,,,,
Sages through the Ages: Readings in Early Indian and Chinese Religion and Philosophy,02.105DH,"What are we? How do we know what we know? What really exists? Are we intrinsically good? How should society function? What is moral? This course takes such perennial questions in human history and explores them from the perspective of some of Asia?€?s greatest minds. It focuses on understanding the central tenets of Buddhism, Hinduism, Daoism, and Confucianism and traces their later developments up until the fifteenth century. In doing so it provides an introduction to the main religious and philosophical traditions of India and China. On account of the parallels and exchanges between their respective intellectual traditions, the course weaves between Chinese and Indian thinkers in order to encourage comparison and cross-cultural conversations.",,0,0,0,0,,,,,,,,
"The Chinese Lyrical Tradition: Arts, Literature and Landscape Design",02.110DH,"This course examines the artistic and cultural developments of Chinese poetic tradition through varied literary genres (poem, drama and fiction) and artistic mediums (paintings, calligraphy, music, and landscape design). Through a close study of the important Chinese literary and artistic works, represented by famous poets and artists, students will be able to understand key facets of traditional Chinese culture. No prior background in Chinese literature or Chinese literary theory is required!",,0,0,0,0,,,,,,,,
Multicultural Archipelago in History and Story,02.114DH,"This course provides a general view of multicultural experiences in the SE Asian archipelago (including peninsular Malaysia) through historical and literary lenses.  Starting with a concept of multiculturalism developed for this region in particular, the course introduces the long-term historical tendency of Malayo-Indonesian civilization to absorb foreign ideas and persons, and goes on to considers both (1) how the pluralistic culture of the region was affected in the modern period by increasing immigration (by both indigenous groups moving within  the archipelago and non-indigenous groups  moving into the archipelago), as well as by European colonization and the introduction of modernization; and (2) how the lives of colonial subjects protested against both native norms and colonial governance. Important literary works by Javanese, Malay, English, Dutch, and Chinese authors dating from the 19th and 20th centuries are informed by recent histories of these same groups by contemporary scholars of the SE Asian archipelago. Overall, the course examines the multiplicity of cultures within the archipelago as fluid groupings shaped through human effort both from the top and the bottom of the social and political structures.",,0,0,0,0,,,,,,,,
Global Shakespeares,02.115DH,"If Shakespeare could travel through time to the twenty-first century, he would be bewildered to discover that his works were being read and studied as academic texts in university classrooms. In this course, we will read several of Shakespeare?€?s works?€?including The Merchant of Venice, Othello, Romeo and Juliet, King Lear, and The Tempest?€?without staying tethered to words on a printed page. In Shakespeare?€?s London, playwriting was neither scholarly nor static. His was a dynamic, collaborative, open-access world in which writers borrowed freely from old material and re-shaped it into new forms of entertainment?€?a concept of creativity that connects Shakespeare to many of his interpreters and fans today. The public theater was one of the most successful forums for popular culture in Renaissance England, and Shakespeare wrote his plays for large and diverse audiences. During Shakespeare?€?s time, it would not have been unusual for the queen or king of England to be in attendance, watching the performance alongside the groundlings?€?the often rowdy theatergoers from London?€?s working classes. In this seminar, we will respond to cinematic productions that restore Shakespeare?€?s characters and themes to popular culture?€?both in his own time and around the world. In this course, we?€?ll read and analyze Shakespeare?€?s original playtexts alongside global cinematic productions of his plays, including a Bollywood-inspired retelling of Othello and a feudal Japanese reimagining of King Lear. In doing so, we?€?ll see how these films respond to living issues of politics, gender, race, and nationhood.",,0,0,0,0,,,,,,,,
