Track,Required,ReqOption,Option,OptionNumber,Pillar
Artificial Intelligence,50.039;50.021,01.112;40.319,01.110;50.006;50.012;50.017;50.020;50.021;50.033;50.035;50.036;50.037;50.038;50.039;50.040;50.041;50.042;50.043;50.044;30.119,4,ISTD
Computer Engineering,50.012;50.041,01.112;40.319,01.110;50.006;50.012;50.017;50.020;50.021;50.033;50.035;50.036;50.037;50.038;50.039;50.040;50.041;50.042;50.043;50.044;30.002;30.106;30.115;30.202,4,ISTD
Data Analytics,50.038;50.043,01.112;40.319,01.110;50.006;50.012;50.017;50.020;50.021;50.033;50.035;50.036;50.037;50.038;50.039;50.040;50.041;50.042;50.043;50.044;40.016,4,ISTD
Financial Technology,50.043;40.240,01.112;40.319,01.110;50.006;50.012;50.017;50.020;50.021;50.033;50.035;50.036;50.037;50.038;50.039;50.040;50.041;50.042;50.043;50.044;40.242;40.317,4,ISTD
Security,50.042;50.020;50.044,01.112;40.319,01.110;50.006;50.012;50.017;50.020;50.021;50.033;50.035;50.036;50.037;50.038;50.039;50.040;50.041;50.042;50.043;50.044,4,ISTD
Business Analytics and Operations Research,,,40.316;01.104;40.319;40.302&40.305,3,ESD
Financial Service,40.240;40.242;40.317,,,0,ESD
Supply Chain & Logistics,40.260;40.318,40.316;40.319;40.302&40.305,,0,ESD
Urban Infrastructure Systems,,,01.107;40.232;40.320;40.316;40.230;01.102,3,ESD
Aviation,40.320;01.107;40.321,,,0,ESD
Self-Directed Programme,,30.102;30.103,30.110;30.106;30.107;30.104;30.109;30.105;30.108;30.111;30.203;30.316#30.115;30.114;30.118;30.123#30.119;30.117;30.202;30.201;30.200;30.207,3#1#1,EPD
Robotics,30.119,30.102;30.103,30.110;30.104;30.105;30.111;30.203;30.316#30.115;30.114;30.123#30.201;30.117;30.207,3#1#1,EPD
Mechanical Engineering,30.103;30.105,,30.104;30.109;30.109;30.111;30.203;30.316#30.114;30.118;30.123#30.119;30.207;30.200;30.201,2#1#1,EPD
Healthcare Engineering Design,30.203;30.123,30.102;30.103,30.110;30.106;30.108;30.111;30.105;30.104;30.316#30.115;30.118;30.114#30.119;30.200;30.201,2#1#1,EPD
Electrical Engineering,30.102;30.107;30.117,,30.106;30.110;30.108;30.111;30.203;30.109;30.316#30.115;30.114;30.123;30.118,1#1#1,EPD
Computer Engineering,30.102;30.110,,30.106;30.107;30.111;30.203;50.001;50.002;50.007;50.004;30.316#30.115;30.123;50.003;50.005;50.006;50.017;50.020;50.035#30.202;30.201;50.021;50.033,2#1#1,EPD
